"Stand","Treatment","n","mean","sd","median","iqr"
"Managed","Destructive",18,13.8008333333333,1.61468624706801,13.6575,1.557
"Managed","Microsecond",18,1.83877777777778,0.181848856295407,1.818,0.22275
"Managed","Resistrograph",18,10.4911111111111,2.11677859824473,9.955,2.785
"Managed","TreeSonic",18,10.7122222222222,1.02045293032385,10.595,1.755
"Unmanaged","Destructive",18,15.7597222222222,1.73312593499028,16.032,1.65825
"Unmanaged","Microsecond",18,1.93722222222222,0.171045420715412,1.965,0.155
"Unmanaged","Resistrograph",18,11.6172222222222,2.621020918191,11.575,4.0725
"Unmanaged","TreeSonic",18,10.5466666666667,0.950201217080454,10.515,1.4675
