"contrast","estimate","SE","df","t.ratio","p.value"
"Destructive - Microsecond",12.8922777777778,0.275979649459472,109,46.71459581541,5.17363929475323e-14
"Destructive - Resistrograph",3.72611111111112,0.481884292861946,109,7.73237718328912,3.38105099473296e-11
"Destructive - TreeSonic",4.15083333333334,0.319901978035865,109,12.9753287516965,5.24025267623074e-14
"Microsecond - Resistrograph",-9.16616666666667,0.396837014071562,109,-23.0980637935496,5.17363929475323e-14
"Microsecond - TreeSonic",-8.74144444444445,0.166145778102951,109,-52.6131000393395,5.17363929475323e-14
"Resistrograph - TreeSonic",0.42472222222222,0.428546525330353,109,0.991076107535383,0.754817422621633
